,0
0,0
1,-a10*p19*x17/x4 - a11*x3/x4 - 2*a22*x3/p34 + 2*a23*x24/x4 - a26*x3/x4
2,a1*p34*x4/(x3*x5) - a10*p19*p34*x17/(x3*x5) - a11*p34/x5 - a22*x4/x5 + a23*p34*x24/(x3*x5) - a26*p34/x5
3,a1
4,a10*p19*x17/x5 + a11*x3/x5 - a14*x23/x5 + a22*x3*x4/(p34*x5) - a23*x24/x5 + a26*x3/x5
5,a2
6,-a12
7,-a12*x6/x1 - a28*x26/x1
8,a15*x18*x22**(-p23)*(p22**p23 + x22**p23) + a9*x15*x22**(-p23)*(p22**p23 + x22**p23)
9,a15*x18/x16 + a9*x15/x16
10,a17*x22 + a3*x21
11,a3
12,-a17*x22/(x21*(p14*p35**p15/(p12**p15 + p35**p15) - 1))
13,-a10*x17/x12 + a15*x18/(p19*x12) - a18*x10*x9**p2/(k3*p19*x12*(p1**p2 + x9**p2)) + a19*k2*x7/(k3*p19*x12*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a20*v1*v3**4*x11**(-p4)*x28**(-p8)*(p3**p4 + x11**p4)*(p7**p8 + x28**p8)*(k1*p19**2*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13**2*x15**4*x19*x20**4*x25*x28**p10*x28**p8*x7*x8**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**4*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)) - k1*p19**2*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13**2*x15**4*x19*x20**4*x25*x28**p10*x28**p8*x7*x8**2/(k3*v1*v3**4*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)))/(p19**3*p27*p29*x12**2*x13**2*x15**4*x19*x20**4*x25*x7*x8*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a21*x25/(p19*x12) + a29*k2*x7/(k3*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a4*x15/(p19*x12) + a9*x15/(p19*x12)
14,a4
15,a18*v1*x10*x9**p2/(k3*x12*x25*(p1**p2 + x9**p2)) - a19*k2*v1*x7/(k3*x12*x25*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a20*v1**2*v3**2*x11**(-p4)*x28**(-p8)*(p3**p4 + x11**p4)*(p7**p8 + x28**p8)*(-k1*p19**2*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13**2*x15**2*x20**3*x25*x28**p10*x28**p8*x7*x8**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**2*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)) + k1*p19**2*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13**2*x15**2*x20**3*x25*x28**p10*x28**p8*x7*x8**2/(k3*v1*v3**2*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)))/(p19**2*p27*p29*x12**2*x13**2*x15**2*x20**3*x25**2*x7*x8*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) - a21*v1/x12 - a29*k2*p19*v1*x7/(k3*x25*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a5*v1*x13/(x12*x25)
16,a5
17,a10*p19*v1*x17/(x12*x3) + a6*v1*x17/(x12*x3)
18,a6
19,-a18*v3*x10*x9**p2/(k3*x15*x20*(p1**p2 + x9**p2)) + a19*k2*v3*x7/(k3*x15*x20*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a20*v1*v3**3*x11**(-p4)*x28**(-p8)*(p3**p4 + x11**p4)*(p7**p8 + x28**p8)*(k1*p19**2*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13**2*x15**2*x20**3*x25*x28**p10*x28**p8*x7*x8**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**2*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)) - k1*p19**2*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13**2*x15**2*x20**3*x25*x28**p10*x28**p8*x7*x8**2/(k3*v1*v3**2*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)))/(p19**2*p27*p29*x12*x13**2*x15**3*x20**4*x25*x7*x8*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a21*v3*x25/(x15*x20) + a29*k2*p19*v3*x12*x7/(k3*x15*x20*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a7*v3*x14/(x15*x20)
20,a7
21,-a10*p19*v3*x17/(x15*x19) + a15*v3*x18/(x15*x19) + a8*v3*x18/(x15*x19)
22,a8
23,a9
24,a10*p19*x17/x19 - a15*x18/x19 + a26*x3/x19
25,a18*x10*x9**p2/(k3*p19*x13*(p1**p2 + x9**p2)) - a19*k2*x7/(k3*p19*x13*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a20*v1*v3**2*x11**(-p4)*x28**(-p8)*(p3**p4 + x11**p4)*(p7**p8 + x28**p8)*(-k1*p19*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13*x15**2*x20**3*x25*x28**p10*x28**p8*x7*x8**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3**2*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)) + k1*p19*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13*x15**2*x20**3*x25*x28**p10*x28**p8*x7*x8**2/(k3*v1*v3**2*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)))/(p19**2*p27*p29*x12*x13**2*x15**2*x20**3*x25*x7*x8*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) - a21*x25/(p19*x13) - a29*k2*x12*x7/(k3*x13*(c2**p18*p17/(c2**p18 + p16**p18) + 1))
26,a10
27,0
28,0
29,a11
30,a12
31,a13
32,-a14
33,a14
34,a15
35,-a16*x10*x22**(-p21)*(p20**p21 + x22**p21)/(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1) + a19*v1*v3*x22**(-p21)*(p20**p21 + x22**p21)*(k2*p19*x12*x13*x15*x20**2*x25*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3) - k2*p19*x12*x13*x15*x20**2*x25*x7**2/(v1*v3))/(p19*x12*x13*x15*x20**2*x25*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1)) - a20*v1*v3*x11**(-p4)*x22**(-p21)*x28**(-p8)*(p20**p21 + x22**p21)*(p3**p4 + x11**p4)*(p7**p8 + x28**p8)*(k1*p19*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13*x15*x20**2*x25*x28**p10*x28**p8*x7*x8**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)) - k1*p19*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13*x15*x20**2*x25*x28**p10*x28**p8*x7*x8**2/(v1*v3*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)))/(p19*p27*p29*x12*x13*x15*x20**2*x25*x7*x8*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1)) + a29*v1*v3*x22**(-p21)*(p20**p21 + x22**p21)*(-k2*p19**2*x12**2*x13*x15*x20**2*x25*x7**2/(v1*v3) + p19**2*x12**2*x13*x15*x20**2*x25*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3))/(p19*x12*x13*x15*x20**2*x25*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1))
36,a16
37,a17
38,a18*x10*x9**p2/(k3*x20*(p1**p2 + x9**p2)) - a19*k2*x7/(k3*x20*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) + a20*v1*v3*x11**(-p4)*x28**(-p8)*(p3**p4 + x11**p4)*(p7**p8 + x28**p8)*(-k1*p19*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13*x15*x20*x25*x28**p10*x28**p8*x7*x8**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)) + k1*p19*p27*p28*p29*p30*x11**p4*x11**p6*x12*x13*x15*x20*x25*x28**p10*x28**p8*x7*x8**2/(k3*v1*v3*(p3**p4 + x11**p4)*(p5**p6 + x11**p6)*(p7**p8 + x28**p8)*(p9**p10 + x28**p10)))/(p19*p27*p29*x12*x13*x15*x20**2*x25*x7*x8*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) - a21*x25/x20 - a29*k2*p19*x12*x7/(k3*x20*(c2**p18*p17/(c2**p18 + p16**p18) + 1))
39,-a19/(c2**p18*p17/(c2**p18 + p16**p18) + 1) + a20*k1*p28*p30*x11**p6*x28**p10*x8/(k2*x7*(p5**p6 + x11**p6)*(p9**p10 + x28**p10)*(c2**p18*p17/(c2**p18 + p16**p18) + 1)) - a29*p19*x12/(c2**p18*p17/(c2**p18 + p16**p18) + 1)
40,a18*x10*x11**(-p4)*x28**(-p8)*x9**p2*(p3**p4 + x11**p4)*(p7**p8 + x28**p8)/(k1*p27*p29*x8*(p1**p2 + x9**p2)) - a20*p28*p30*x11**(-p4)*x11**p6*x28**p10*x28**(-p8)*(p3**p4 + x11**p4)*(p7**p8 + x28**p8)/(p27*p29*(p5**p6 + x11**p6)*(p9**p10 + x28**p10))
41,a18
42,a19
43,a20
44,a21
45,a22*x3*x4/(p34*x24) - a23
46,a22
47,a23
48,a24
49,a25
50,a26
51,a28*x26/x1
52,a27*x27/x1
53,a27
54,a28
55,a29
